,team_ids,round_ids,shots_total,shots_ongoal,shots_offgoal,shots_insidebox,shots_outsidebox,passes_total,passes_percentage,attacks_total,attacks_dangerous,fouls,corners,possession_time,yellow_cards,red_cards,saves,substitutions,tackles,penalties,injuries,results
169,273,194980,-1,-2.0,,2.0,,286,26.340000000000003,1,18,1.0,6.0,38,-2.0,,-1.0,0.0,-6,,0.0,0
170,338,194983,-2,4.0,-6.0,0.0,-1.0,-1,1.75,-20,-14,14.0,1.0,0,1.0,,-3.0,1.0,13,1.0,,1
171,180,194983,2,-4.0,6.0,0.0,1.0,1,-1.75,20,14,-14.0,-1.0,0,-1.0,,3.0,-1.0,-13,-1.0,,-1
172,258,194983,6,3.0,3.0,5.0,-1.0,-15,0.5700000000000003,31,38,-1.0,4.0,0,3.0,,0.0,2.0,10,,,1
173,282,194983,-6,-3.0,-3.0,-5.0,1.0,15,-0.5700000000000003,-31,-38,1.0,-4.0,0,-3.0,,0.0,-2.0,-10,,,-1
174,309,194983,0,-4.0,4.0,-2.0,2.0,-35,-4.460000000000008,6,-8,3.0,1.0,-6,0.0,,1.0,-1.0,0,,,-1
175,66,194983,0,4.0,-4.0,2.0,-2.0,35,4.460000000000008,-6,8,-3.0,-1.0,6,0.0,,-1.0,1.0,0,,,1
176,496,194983,15,8.0,7.0,13.0,3.0,19,4.200000000000003,16,25,-1.0,6.0,4,-1.0,,-9.0,-2.0,-5,1.0,,0
177,273,194983,-15,-8.0,-7.0,-13.0,-3.0,-19,-4.200000000000003,-16,-25,1.0,-6.0,-4,1.0,,9.0,2.0,5,-1.0,,0
178,246,194983,-12,-4.0,-8.0,-8.0,,-404,-11.27000000000001,-34,-37,4.0,,-40,4.0,,1.0,-1.0,4,,,-1
179,62,194983,12,4.0,8.0,8.0,,404,11.27000000000001,34,37,-4.0,,40,-4.0,,-1.0,1.0,-4,,,1
180,53,194983,5,2.0,3.0,6.0,5.0,311,19.21999999999999,13,34,6.0,7.0,36,-4.0,,,4.0,-13,,,0
181,734,194983,-5,-2.0,-3.0,-6.0,-5.0,-311,-19.21999999999999,-13,-34,-6.0,-7.0,-36,4.0,,,-4.0,13,,,0
182,273,194984,1,3.0,,1.0,,-20,-0.6799999999999926,0,3,-2.0,1.0,-4,0.0,,0.0,1.0,-12,,,1
183,246,194984,-1,-3.0,,-1.0,,20,0.6799999999999926,0,-3,2.0,-1.0,4,0.0,,0.0,-1.0,12,,,-1
184,338,194984,-13,-4.0,-9.0,-9.0,,-291,-17.909999999999997,-30,-22,4.0,-5.0,-36,3.0,,3.0,-1.0,12,,,-1
185,66,194984,13,4.0,9.0,9.0,,291,17.909999999999997,30,22,-4.0,5.0,36,-3.0,,-3.0,1.0,-12,,,1
